Results for error margin CALCULATE PROBABILITY
 1.5
Red: 
[('r', 10.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 0.06179186450061272), (' result', 0.05480000000000001), 1.127588768259356]
[('r', 1000.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 1.5738651079493076), (' result', 1.3934), 1.1295142155513906]
[('r', 10000.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 420.3767967888919), (' result', 371.8524), 1.130493703385784]
[('r', 100000.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 4190.345223162052), (' result', 3695.654), 1.1338575589495261]
[('r', 500.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 0.8139875356690284), (' result', 0.7172), 1.1349519459969721]
[('r', 10.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 0.12358372900122544), (' result', 0.10200000000000001), 1.2116051862865238]
[('r', 100.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 0.2060854778448053), (' result', 0.16979999999999998), 1.2136953936678758]
[('r', 50.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 0.1300977206167774), (' result', 0.1026), 1.2680089728730741]
[('r', 10.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 0.13861502966871023), (' result', 0.10879999999999998), 1.2740351991609398]
[('r', 10.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 0.06930751483435511), (' result', 0.048600000000000004), 1.4260805521472244]
[('r', 10.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 0.15678842457127862), (' result', 0.10460000000000001), 1.4989333133009426]
Results for error margin CALCULATE PROBABILITY
 2
Red: 
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 2.031215707296498), (' result', 14.822799999999999), 0.13703319934806502]
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 2.2782693790350224), (' result', 14.867199999999999), 0.1532413217710815]
[('r', 50000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 22.637716627525805), (' result', 142.63), 0.15871637542961373]
[('r', 50000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 20.182901115334122), (' result', 124.148), 0.16257129486849664]
[('r', 10000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 4.048069641522901), (' result', 18.1772), 0.22270039618439041]
[('r', 100000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 40.351440457598144), (' result', 158.366), 0.2547986339087818]
[('r', 10000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 4.540430184422887), (' result', 16.4002), 0.27685212280477595]
[('r', 100000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 45.25932468140445), (' result', 156.188), 0.28977466054629325]
[('r', 1000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.4177325599153762), (' result', 1.399), 0.298593681140369]
[('r', 500.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.21604716649273598), (' result', 0.7136), 0.3027566795021524]
[('r', 100.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.05469885175462376), (' result', 0.16959999999999997), 0.322516814590942]
[('r', 50.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.03453031241235972), (' result', 0.10460000000000001), 0.3301177094871866]
[('r', 1000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.46854073472473046), (' result', 1.3614), 0.34416096277709013]
[('r', 500.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.242324654185944), (' result', 0.7016), 0.3453886177108666]
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 5.153932694623505), (' result', 14.354000000000001), 0.35905898666737524]
[('r', 100.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.06135178975491484), (' result', 0.1702), 0.3604687999701225]
[('r', 50.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.03873018170103618), (' result', 0.1), 0.3873018170103618]
[('r', 10.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.01839548093854851), (' result', 0.047200000000000006), 0.3897347656472141]
[('r', 50000.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 51.21135759092949), (' result', 125.292), 0.40873605330691093]
[('r', 10.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.020632895257933277), (' result', 0.047400000000000005), 0.4352931489015459]
[('r', 1000.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 2.806392920741081), (' result', 6.3806), 0.43983213502508867]
[('r', 500.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 1.4514387834987295), (' result', 3.2144), 0.45154267779328316]
[('r', 1000.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 3.147730215898615), (' result', 6.928), 0.4543490496389456]
[('r', 500.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 1.6279750713380567), (' result', 3.4846), 0.4671913767256089]
[('r', 5000.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 13.64602601867989), (' result', 28.5474), 0.47801291951911173]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 0.8444389134021222), (' result', 0.3792), 2.2268958686764826]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 0.7528686469381771), (' result', 0.31939999999999996), 2.357134148209697]
[('r', 10.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 0.9551507307355686), (' result', 0.3912), 2.4415918474835596]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 1.910301461471137), (' result', 0.7153999999999999), 2.670256446003826]

Green: 
[('r', 5000.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 6.823013009339945), (' result', 13.6256), 0.5007495456596367]
[('r', 5000.0), (' b', 1.0), (' d', 50.0), (' a', 5.0), (' v', 2.0), (' function', 7.65288568619154), (' result', 15.1198), 0.5061499283185982]
[('r', 50000.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 135.5918983704915), (' result', 259.062), 0.5233955515301028]
[('r', 1000.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 3.5604195497824818), (' result', 6.5972), 0.5396864654372282]
